Production Order,Total Time (HH:MM:SS),From,To
002793810,00:00:09,2024-12-04 01:12:40,2024-12-04 01:12:50
P001288343268,00:01:57,2024-12-04 01:15:23,2024-12-04 01:17:20
BB105038,00:00:15,2024-12-04 01:20:38,2024-12-04 01:20:54
1234,00:00:14,2024-12-04 12:23:07,2024-12-04 12:23:21
123,00:02:20,2024-12-04 12:36:53,2024-12-04 12:39:13
546547,00:00:11,2024-12-06 09:08:15,2024-12-06 09:08:27
12345,00:00:10,2024-12-06 09:15:38,2024-12-06 09:15:48
test,00:00:00,2024-12-06 10:15:47,2024-12-06 10:15:47
test123321,00:00:21,2024-12-06 10:34:12,2024-12-06 10:34:34
1234,00:00:16,2024-12-09 18:07:32,2024-12-09 18:07:49,2024-12-09 18:07:32,2024-12-09 18:07:49
AGB42387642378ISD,00:01:01,2024-12-09 18:14:11,2024-12-09 18:15:13,2024-12-09 18:14:11,2024-12-09 18:15:13
helloworld,00:00:02,2024-12-09 18:19:50,2024-12-09 18:19:53,2024-12-09 18:19:50,2024-12-09 18:19:53
1321323,00:00:08,2024-12-09 18:20:18,2024-12-09 18:20:27,2024-12-09 18:20:18,2024-12-09 18:20:27
jhfbaskjh,00:00:00,2024-12-09 18:22:22,2024-12-09 18:22:22,2024-12-09 18:22:22,2024-12-09 18:22:22
,00:00:00,2024-12-09 18:22:41,2024-12-09 18:22:41,2024-12-09 18:22:41,2024-12-09 18:22:41
testtest999,00:00:18,2024-12-09 18:42:55,2024-12-09 18:43:13
fbkahsfk231,00:00:46,2024-12-09 19:10:13,2024-12-09 19:10:59
fjsdbhkjh,00:00:12,2024-12-09 19:18:02,2024-12-09 19:18:15
423412,00:00:00,2024-12-09 19:18:34,2024-12-09 19:18:34
hello,00:00:10,2024-12-09 19:26:54,2024-12-09 19:27:05
123,00:00:00,2024-12-09 19:35:03,2024-12-09 19:35:03
fjashbkfj,00:00:11,2024-12-09 19:35:43,2024-12-09 19:35:54
123321,00:00:00,2024-12-09 19:37:40,2024-12-09 19:37:40
12345,00:00:02,2024-12-09 19:41:14,2024-12-09 19:41:17
42342,00:00:03,2024-12-09 19:41:54,2024-12-09 19:41:58
1234,00:00:40,2024-12-09 19:44:41,2024-12-09 19:45:22
8345692387,00:00:08,2024-12-09 19:45:45,2024-12-09 19:45:53
123,00:01:02,2024-12-09 19:51:37,2024-12-09 19:52:40
123,00:00:00,2024-12-09 20:02:26,2024-12-09 20:02:26
test678,00:00:36,2024-12-09 20:08:55,2024-12-09 20:09:32
,00:00:00,2024-12-09 20:10:08,2024-12-09 20:10:08
1234,00:00:08,2024-12-09 20:12:16,2024-12-09 20:12:24
testagain,00:00:12,2024-12-09 20:14:23,2024-12-09 20:14:35
45234534,00:00:02,2024-12-09 20:15:06,2024-12-09 20:15:08
123,00:00:15,2024-12-09 20:32:06,2024-12-09 20:32:22
123,00:00:14,2024-12-09 20:38:22,2024-12-09 20:38:36
